name,season,gender,age,race,hometown,uk_region,profession,day_entered,day_left,days_in_villa,percent_time,couples_num,outcome,still_together,insta_followers
Danny Williams,5,male,21,multiracial,"Hull, England",Yorkshire and the Humber,Model,6,36,30,51.72%,3,dumped,FALSE,470000
Jourdan Riane,5,female,24,black,"London, England",London,Entertainer,26,36,10,17.24%,1,dumped,FALSE,708000
Arabella Chi,5,female,28,white,"London, England",London,Model,18,25,7,12.07%,2,dumped,FALSE,670000
Tom Walker,5,male,29,white,"Leeds, England",Yorkshire and the Humber,Model,14,25,11,18.97%,1,dumped,FALSE,108000
Yewande Biala,5,female,23,black,"Dublin, Ireland",Ireland,Medical field,1,22,22,37.93%,2,dumped,FALSE,713000
Elma Pazar,5,female,26,white,"Essex, England",East of England,Cosmetologist,10,16,6,10.34%,1,dumped,FALSE,401000
Joe Garratt,5,male,22,white,"Southeast London, England",London,Foodservice,1,16,16,27.59%,1,dumped,FALSE,712000
Sharif Lanre,5,male,20,black,"London, England",London,Professional sports,1,9,9,15.52%,1,removed,FALSE,313000
Callum Macleod,5,male,28,white,"South Wales, Wales",Wales,Sciences,1,5,5,8.62%,1,dumped,FALSE,241000
Finley Tapp,6,male,20,white,"Milton Keynes, England",Southeast,Professional sports,5,43,38,88.37%,1,winner,TRUE,1200000
Paige Turley,6,female,22,white,"West Lothian, Scotland",Scotland,Entertainer,1,43,43,100.00%,2,winner,TRUE,1700000
Luke Trotman,6,male,22,black,"Luton, England",East of England,Tradesperson,12,43,31,72.09%,2,second,FALSE,1200000
Siânnise Fudge,6,female,25,white,"Bristol, England",Southwest,Cosmetologist,1,43,43,100.00%,3,second,FALSE,1600000
Demi Jones,6,female,21,white,"Portsmouth, England",Southeast,Fashion,16,43,27,62.79%,2,third,FALSE,1200000
Luke Mabbott,6,male,24,white,"Redcar, England",Northeast,Tradesperson,12,43,31,72.09%,3,third,FALSE,1000000
Ched Uzor,6,male,23,black,"Suffolk, England",East of England,Tradesperson,21,43,22,51.16%,1,fourth,FALSE,289000
Jess Gale,6,female,20,white,"Cambridge, England",East of England,Student,1,43,43,100.00%,4,fourth,FALSE,961000
Mike Boateng,6,male,24,black,"Manchester, England",Northwest,Public Safety,1,41,41,95.35%,4,dumped,FALSE,380000
Priscilla Anyabu,6,female,25,black,"Battersea, England",London,Model,23,41,18,41.86%,1,dumped,FALSE,176000
Callum Jones,6,male,23,white,"Manchester, England",Northwest,Tradesperson,1,38,38,88.37%,3,dumped,TRUE,774000
Molly Smith,6,female,25,white,"Manchester, England",Northwest,Model,21,38,17,39.53%,1,dumped,TRUE,866000
Jamie Clayton,6,male,28,white,"Edinburgh, Scotland",Scotland,Corporate,31,38,7,16.28%,1,dumped,FALSE,96000
Natalia Zoppa,6,female,20,white,"Manchester, England",Northwest,Student,23,38,15,34.88%,2,dumped,FALSE,252000
Shaughna Phillipa,6,female,25,white,"London, England",London,Government,1,33,33,76.74%,1,dumped,FALSE,1400000
Eva Zapico,6,female,21,multiracial,"Bromley, England",London,Corporate,23,30,7,16.28%,1,dumped,TRUE,151000
Jordan Waobikeze,6,male,24,black,"London, England",London,Corporate,21,30,9,20.93%,1,dumped,FALSE,70500
Nas Majeed,6,male,23,arab,"London, England",London,Fitness,1,30,30,69.77%,4,dumped,TRUE,442000
Rebecca Gormley,6,female,21,white,"Newcastle, England",Northeast,Model,9,30,21,48.84%,3,dumped,FALSE,340000
Sophie Piper,6,female,21,multiracial,"Essex, England",East of England,Medical field,1,22,22,51.16%,3,dumped,FALSE,724000
Wallace Wilson,6,male,24,white,"Inverness, Scotland",Scotland,Fitness,16,22,6,13.95%,1,dumped,FALSE,129000
Leanne Amaning,6,female,22,black,"London, England",London,Corporate,1,18,18,41.86%,1,dumped,FALSE,282000
Connor Durman,6,male,25,white,"Brighton, England",Southeast,Sales,1,15,15,34.88%,2,dumped,FALSE,483000
Connagh Howard,6,male,27,multiracial,"Cardiff, Wales",Wales,Model,5,13,8,18.60%,1,dumped,FALSE,246000
Eve Gale,6,female,20,white,"Cambridge, England",East of England,Student,1,6,6,13.95%,1,dumped,FALSE,792000
Ollie Williams,6,male,23,white,"Cornwall, England",Southwest,Real Estate,1,4,4,9.30%,1,walked,FALSE,49400
Liam Reardon,7,male,21,white,"Merthyr Tydfil, Wales",Wales,Tradesperson,4,58,54,93.10%,2,winner,TRUE,1000000
Millie Court,7,female,24,white,"Essex, England",East of England,Fashion,9,58,49,84.48%,1,winner,TRUE,2000000
Chloe Burrows,7,female,25,white,"Bicester, England",Southeast,Corporate,1,58,58,100.00%,4,second,TRUE,1600000
Toby Aromolaran,7,male,22,black,"Essex, England",East of England,Professional sports,1,58,58,100.00%,4,second,TRUE,959000
Faye Winter,7,female,26,white,"Devon, England",Southwest,Real Estate,1,58,58,100.00%,4,third,TRUE,1200000
Teddy Soares,7,male,27,black,"Manchester, England",Northwest,Corporate,12,58,46,79.31%,1,third,TRUE,1000000
Kaz Kamwi,7,female,26,black,"Essex, England",East of England,Fashion,1,58,58,100.00%,4,fourth,FALSE,791000
Tyler Cruickshank,7,male,26,black,"Croydon, England",London,Real Estate,23,58,35,60.34%,2,fourth,FALSE,198000
Jake Cornish,7,male,24,white,"Weston-super-Mare, England",Southwest,Tradesperson,1,54,54,93.10%,1,walked,FALSE,489000
Liberty Poole,7,female,21,white,"Birmingham, England",West Midlands,Student,1,54,54,93.10%,1,walked,FALSE,1500000
Aaron Simpson,7,male,24,black,"Kent, England",Southeast,Professional sports,42,52,10,17.24%,1,dumped,FALSE,119000
Mary Bedford,7,female,22,white,"Wakefield, England",Yorkshire and the Humber,Model,29,52,23,39.66%,3,dumped,FALSE,892000
Brett Staniland,7,male,27,white,"Derbyshire, England",East Midlands,Student,44,50,6,10.34%,1,dumped,FALSE,79500
Priya Gopaldas,7,female,23,asian,"London, England",London,Student,42,50,8,13.79%,1,dumped,FALSE,103000
Matthew MacNabb,7,male,26,white,"Downpatrick, Northern Ireland",Northern Ireland,Corporate,29,45,16,27.59%,1,dumped,FALSE,155000
Abigail Rawlings,7,female,27,white,"Bournemouth, England",Southwest,Cosmetologist,23,42,19,32.76%,2,dumped,FALSE,416000
Dale Mehmet,7,male,24,multiracial,"Glasgow, Scotland",Scotland,Cosmetologist,29,42,13,22.41%,2,dumped,FALSE,179000
Amy Day ,7,female,25,white,"West Molesey, England",London,Entertainer,29,38,9,15.52%,1,dumped,FALSE,106000
Clarisse Juliette,7,female,23,black,"London, England",London,Influencer,29,38,9,15.52%,1,dumped,FALSE,345000
Hugo Hammond,7,male,24,white,"Hampshire, England",Southeast,Teacher,1,38,38,65.52%,4,dumped,FALSE,417000
Sam Jackson,7,male,23,white,"Clitheroe, England",Northwest,Tradesperson,29,38,9,15.52%,2,dumped,FALSE,96400
Aaron Francis,7,male,24,black,"London, England",London,Events,1,28,28,48.28%,5,dumped,FALSE,350000
Lucinda Strafford,7,female,21,white,"Brighton, England",Southeast,Fashion,8,28,20,34.48%,3,dumped,FALSE,829000
Georgia Townend,7,female,28,white,"Essex, England",East of England,Corporate,23,25,2,3.45%,0,dumped,FALSE,145000
AJ Bunker,7,female,28,asian,"Hemel Hempstead, England",East of England,Cosmetologist,17,23,6,10.34%,1,dumped,FALSE,111000
Danny Bibby,7,male,25,white,"Manchester, England",Northwest,Tradesperson,18,23,5,8.62%,1,dumped,FALSE,111000
Sharon Gaffka,7,female,25,asian,"Didcot, England",Southeast,Government,1,19,19,32.76%,2,dumped,FALSE,354000
Brad McClelland,7,male,26,white,"Northumberland, England",Northeast,Tradesperson,1,16,16,27.59%,3,dumped,FALSE,528000
Rachel Finni,7,female,29,black,"Cockfosters, England",London,Sales,5,14,9,15.52%,1,dumped,FALSE,95700
Chuggs Wallace,7,male,23,white,"Surrey, England",Southeast,Fashion,4,6,2,3.45%,0,dumped,FALSE,74000
Shannon Singh,7,female,22,south asian,"Fife, Scotland",Scotland,Model,1,2,1,1.72%,1,dumped,FALSE,447000
Davide Sanclimenti,8,male,27,white,"Manchester, England",Northwest,Sales,1,58,57,100.00%,3,winner,TRUE,1900000
Ekin-Su Cülcüloglu,8,female,27,arab,"Essex, England",East of England,Entertainer,3,58,55,96.49%,3,winner,TRUE,3200000
Gemma Owen,8,female,19,white,"Chester, England",Northwest,Professional sports,1,58,57,100.00%,3,second,FALSE,2000000
Luca Bish,8,male,23,white,"Brighton, England",Southeast,Foodservice,1,58,57,100.00%,3,second,FASLE,1400000
Paige Thorne,8,female,25,white,"Swansea, Wales",Wales,Medical field,1,56,55,96.49%,4,dumped,FALSE,1500000
Adam Collard,8,male,27,white,"Newcastle, England",Northeast,Fitness,36,56,20,35.09%,2,dumped,FALSE,1100000
Dami Hope,8,male,26,black,"Dublin, Ireland",Ireland,Sciences,1,58,57,100.00%,3,third,TRUE,771000
Indiyah Polack,8,female,24,black,"London, England",London,Model,1,58,57,100.00%,3,third,TRUE,1000000
Andrew Le Page,8,male,27,white,"Guernsey, British Isles",Commonwealth,Real Estate,1,58,57,100.00%,2,fourth,TRUE,826000
Tasha Ghouri,8,female,24,white,"Thirsk, England",Yorkshire and the Humber,Entertainer,1,58,57,100.00%,2,fourth,TRUE,1500000
Danica Taylor,8,female,21,multiracial,"Leicester, England",East Midlands,Entertainer,12,51,39,68.42%,6,dumped,FALSE,671000
Jamie Allen,8,male,27,black,"Preston, England",Northwest,Professional sports,45,51,6,10.53%,1,dumped,FALSE,93700
Deji Adeniyi,8,male,26,black,"Bedford, England",East of England,Corporate,26,49,23,40.35%,3,dumped,FALSE,"173,000"
Lacey Edwards,8,female,26,white,"Swindon, England",Southwest,Entertainer,45,49,4,7.02%,1,dumped,FALSE,39700
Nathalia Campos,8,female,23,white,"London, England",London,Corporate,44,49,5,8.77%,1,dumped,FALSE,87500
Reece Ford,8,male,23,black,"Coventry, England",West Midlands,Model,45,49,4,7.02%,1,dumped,FALSE,23700
Billy Brown,8,male,23,white,"Surrey, England",Southeast,Tradesperson,26,44,18,31.58%,2,dumped,FALSE,128000
Summer Botwe,8,female,22,black,"Hertfordshire, England",East of England,Events,27,44,17,29.82%,2,dumped,FALSE,205000
Coco Lodge,8,female,28,white,"Guildford, England",Southeast,Media,27,39,12,21.05%,2,dumped,FALSE,190000
Josh Le Grove,8,male,22,black,"Essex, England",East of England,Model,26,39,13,22.81%,2,dumped,FALSE,175000
Jacques O'Neill,8,male,23,white,"Cumbria, England",Northwest,Professional sports,7,37,30,52.63%,2,walked,FALSE,1300000
Chyna Mills,8,female,24,black,"Southampton, England",Southeast,Government,27,35,8,14.04%,1,dumped,FALSE,57500
Jay Younger,8,male,29,white,"Edinburgh, Scotland",Scotland,Finance,9,35,26,45.61%,4,dumped,FALSE,295000
Antigoni Buxton,8,female,26,white,"London, England",London,Entertainer,17,25,8,14.04%,2,dumped,FALSE,716000
Charlie Radnedge,8,male,29,white,"London, England",London,Real Estate,17,25,8,14.04%,2,dumped,FALSE,61300
Amber Beckford,8,female,24,black,"London, England",London,Childcare,1,15,14,24.56%,1,dumped,FALSE,159000
Ikenna Ekwonna,8,male,23,black,"Nottingham, England",East Midlands,Sales,1,15,14,24.56%,1,dumped,FALSE,240000
Liam Llewellyn,8,male,23,white,"Newport, South Wales",Wales,Student,1,5,4,7.02%,1,walked,FALSE,329000
